model,site,year,predicted
CanESM2.CRCM5-UQAM,kansas,2081,110
CanESM2.CRCM5-UQAM,kansas,2082,119
CanESM2.CRCM5-UQAM,kansas,2083,112
CanESM2.CRCM5-UQAM,kansas,2084,107
CanESM2.CRCM5-UQAM,kansas,2085,118
CanESM2.CRCM5-UQAM,kansas,2086,113
CanESM2.CRCM5-UQAM,kansas,2087,104
CanESM2.CRCM5-UQAM,kansas,2088,106
CanESM2.CRCM5-UQAM,kansas,2089,117
CanESM2.CRCM5-UQAM,kansas,2090,109
CanESM2.CRCM5-UQAM,kansas,2091,127
CanESM2.CRCM5-UQAM,kansas,2092,116
CanESM2.CRCM5-UQAM,kansas,2093,112
CanESM2.CRCM5-UQAM,kansas,2094,103
CanESM2.CRCM5-UQAM,kansas,2095,103
CanESM2.CRCM5-UQAM,kansas,2096,104
CanESM2.CRCM5-UQAM,kansas,2097,104
CanESM2.CRCM5-UQAM,kansas,2098,109
CanESM2.CRCM5-UQAM,kansas,2099,106
CanESM2.CRCM5-UQAM,kansas,2100,122
CanESM2.CRCM5-UQAM,oakville,2007,128
CanESM2.CRCM5-UQAM,oakville,2008,141
CanESM2.CRCM5-UQAM,oakville,2009,135
CanESM2.CRCM5-UQAM,oakville,2010,127
CanESM2.CRCM5-UQAM,oakville,2011,138
CanESM2.CRCM5-UQAM,oakville,2012,135
CanESM2.CRCM5-UQAM,oakville,2013,142
CanESM2.CRCM5-UQAM,oakville,2014,137
CanESM2.CRCM5-UQAM,oakville,2015,135
CanESM2.CRCM5-UQAM,oakville,2016,136
CanESM2.CRCM5-UQAM,oakville,2017,133
CanESM2.CRCM5-UQAM,oakville,2018,142
CanESM2.CRCM5-UQAM,oakville,2019,126
CanESM2.CRCM5-UQAM,oakville,2020,134
CanESM2.CRCM5-UQAM,oakville,2021,137
CanESM2.CRCM5-UQAM,oakville,2022,137
CanESM2.CRCM5-UQAM,oakville,2023,128
CanESM2.CRCM5-UQAM,oakville,2024,139
CanESM2.CRCM5-UQAM,oakville,2025,145
CanESM2.CRCM5-UQAM,oakville,2026,135
CanESM2.CRCM5-UQAM,oakville,2027,132
CanESM2.CRCM5-UQAM,oakville,2028,127
CanESM2.CRCM5-UQAM,oakville,2029,136
CanESM2.CRCM5-UQAM,oakville,2030,126
CanESM2.CRCM5-UQAM,oakville,2031,134
CanESM2.CRCM5-UQAM,oakville,2032,136
CanESM2.CRCM5-UQAM,oakville,2033,126
